ATTACK_ID,Total_Count,Unique_Families,Families
T1082,13,6,AgentTesla|ISFB|KeyloggerGeneric|RecordBreaker|TrickBot|Unknown
T1083,13,6,AgentTesla|ISFB|KeyloggerGeneric|RecordBreaker|TrickBot|Unknown
T1027,11,6,AgentTesla|ISFB|KeyloggerGeneric|RecordBreaker|TrickBot|Unknown
T1010,9,5,AgentTesla|ISFB|KeyloggerGeneric|TrickBot|Unknown
T1518.001,9,6,AgentTesla|ISFB|KeyloggerGeneric|RecordBreaker|TrickBot|Unknown
T1036,8,5,AgentTesla|ISFB|KeyloggerGeneric|TrickBot|Unknown
T1012,8,5,AgentTesla|ISFB|KeyloggerGeneric|TrickBot|Unknown
T1497,8,5,AgentTesla|ISFB|KeyloggerGeneric|TrickBot|Unknown
T1071,8,5,AgentTesla|ISFB|RecordBreaker|TrickBot|Unknown
T1095,7,5,AgentTesla|ISFB|RecordBreaker|TrickBot|Unknown
T1018,7,5,AgentTesla|ISFB|KeyloggerGeneric|TrickBot|Unknown
T1057,7,5,AgentTesla|ISFB|KeyloggerGeneric|TrickBot|Unknown
T1129,7,3,AgentTesla|ISFB|Unknown
T1055,7,5,AgentTesla|ISFB|KeyloggerGeneric|TrickBot|Unknown
T1059,6,4,AgentTesla|ISFB|RecordBreaker|Unknown
T1027.002,6,5,ISFB|KeyloggerGeneric|RecordBreaker|TrickBot|Unknown
T1112,5,3,AgentTesla|ISFB|Unknown
T1005,5,3,AgentTesla|ISFB|TrickBot
T1003,5,3,AgentTesla|ISFB|TrickBot
T1562.001,5,4,AgentTesla|KeyloggerGeneric|TrickBot|Unknown
T1016,5,3,AgentTesla|ISFB|TrickBot
T1056,5,4,ISFB|KeyloggerGeneric|TrickBot|Unknown
T1114,4,2,AgentTesla|ISFB
T1573,4,3,AgentTesla|RecordBreaker|TrickBot
T1547.001,4,3,AgentTesla|KeyloggerGeneric|Unknown
T1047,4,2,AgentTesla|ISFB
T1064,3,3,KeyloggerGeneric|RecordBreaker|Unknown
T1222,3,2,AgentTesla|Unknown
T1497.001,3,2,TrickBot|Unknown
T1614,3,2,ISFB|Unknown
T1574.002,3,3,KeyloggerGeneric|TrickBot|Unknown
T1106,3,2,TrickBot|Unknown
T1105,3,2,ISFB|TrickBot
T1214,2,1,ISFB
T1542.003,2,2,ISFB|TrickBot
T1529,2,2,AgentTesla|Unknown
T1571,2,2,AgentTesla|Unknown
T1547.009,2,2,AgentTesla|Unknown
T1564.001,2,2,ISFB|RecordBreaker
T1620,2,2,KeyloggerGeneric|Unknown
T1552.002,2,1,AgentTesla
T1218.011,2,2,TrickBot|Unknown
T1115,2,2,AgentTesla|Unknown
T1063,2,1,ISFB
T1014,2,1,ISFB
T1179,2,1,ISFB
T1143,2,1,ISFB
T1134,2,2,AgentTesla|Unknown
T1125,2,2,AgentTesla|Unknown
T1045,2,1,ISFB
T1053,2,2,KeyloggerGeneric|Unknown
T1119,2,1,ISFB
T1056.001,2,1,Unknown
T1185,2,1,ISFB
T1081,2,1,ISFB
T1070.006,2,2,KeyloggerGeneric|Unknown
T1070.004,2,1,ISFB
T1056.004,2,1,ISFB
T1213,1,1,Unknown
T1090,1,1,ISFB
T1564,1,1,ISFB
T1543.002,1,1,RecordBreaker
T1542,1,1,ISFB
T1539,1,1,ISFB
T1496,1,1,ISFB
T1622,1,1,Unknown
