Sample_ID,Malware_Family,ATTACK_ID,Observed_Technique,C2_Domains,C2_IPs,Evidence_Count,Has_Injection_Evidence
Sample_1,ISFB,T1003,"Tries to harvest and steal browser information (history, passwords, etc)",crt.sectigo.com|netsecurez.com|whofoxy.com,104.21.9.185|192.229.211.108|91.212.166.44|31.41.44.79|20.99.184.37|172.67.143.104,36,True
Sample_1,ISFB,T1005,"(Process #7) explorer.exe searches for sensitive data of web browser ""Internet Explorer / Edge"" by file.",crt.sectigo.com|netsecurez.com|whofoxy.com,104.21.9.185|192.229.211.108|91.212.166.44|31.41.44.79|20.99.184.37|172.67.143.104,36,True
Sample_1,ISFB,T1010,"Sample monitors Window changes (e.g. starting applications), analyze the sample with the simulation cookbook",crt.sectigo.com|netsecurez.com|whofoxy.com,104.21.9.185|192.229.211.108|91.212.166.44|31.41.44.79|20.99.184.37|172.67.143.104,36,True
Sample_1,ISFB,T1012,"(Process #7) explorer.exe tries to gather information about application ""Windows Live Mail"" by registry.",crt.sectigo.com|netsecurez.com|whofoxy.com,104.21.9.185|192.229.211.108|91.212.166.44|31.41.44.79|20.99.184.37|172.67.143.104,36,True
Sample_1,ISFB,T1014,Modifies the export address table of usermode modules (user mode EAT hooks),crt.sectigo.com|netsecurez.com|whofoxy.com,104.21.9.185|192.229.211.108|91.212.166.44|31.41.44.79|20.99.184.37|172.67.143.104,36,True
Sample_1,ISFB,T1016,Uses ping.exe to check the status of other devices and networks,crt.sectigo.com|netsecurez.com|whofoxy.com,104.21.9.185|192.229.211.108|91.212.166.44|31.41.44.79|20.99.184.37|172.67.143.104,36,True
Sample_1,ISFB,T1018,Uses ping.exe to check the status of other devices and networks,crt.sectigo.com|netsecurez.com|whofoxy.com,104.21.9.185|192.229.211.108|91.212.166.44|31.41.44.79|20.99.184.37|172.67.143.104,36,True
Sample_1,ISFB,T1027,encode data using XOR,crt.sectigo.com|netsecurez.com|whofoxy.com,104.21.9.185|192.229.211.108|91.212.166.44|31.41.44.79|20.99.184.37|172.67.143.104,36,True
Sample_1,ISFB,T1036,Creates files inside the user directory,crt.sectigo.com|netsecurez.com|whofoxy.com,104.21.9.185|192.229.211.108|91.212.166.44|31.41.44.79|20.99.184.37|172.67.143.104,36,True
Sample_1,ISFB,T1045,Software Packing,crt.sectigo.com|netsecurez.com|whofoxy.com,104.21.9.185|192.229.211.108|91.212.166.44|31.41.44.79|20.99.184.37|172.67.143.104,36,True
